"","date","value","variable","Element","DL_ppb","variable_units","Class","mean_val","sd_val"
"1",2015-12-31,165.18998,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"2",2016-02-12,172.52612,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"3",2016-02-18,169.85893,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"4",2016-02-24,163.7037,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"5",2016-03-04,165.26183,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"6",2016-03-11,167.39901,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"7",2016-03-18,168.70907,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"8",2016-03-27,157.50051,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"9",2016-03-28,297.55863,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"10",2016-04-03,294.35108,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"11",2016-04-04,351.36246,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"12",2016-04-05,351.36246,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"13",2016-04-05,297.32218,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"14",2016-04-05,297.32218,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"15",2016-04-07,368.96771,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"16",2016-04-07,368.96771,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"17",2016-04-09,515.26659,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"18",2016-04-09,515.26659,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"19",2016-04-11,477.49085,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"20",2016-04-11,477.49085,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"21",2016-04-14,354.79562,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"22",2016-04-16,399.07536,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"23",2016-04-18,337.05638,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"24",2016-04-20,408.41471,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"25",2016-04-22,334.87822,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"26",2016-04-24,371.31645,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"27",2016-04-26,335.99465,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"28",2016-04-28,331.69426,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"29",2016-04-30,348.43171,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"30",2016-05-02,463.90581,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"31",2016-05-04,590.10648,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"32",2016-05-06,598.63966,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"33",2016-05-08,518.29497,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"34",2016-05-10,954.32471,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"35",2016-05-12,636.00217,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"36",2016-05-14,478.76871,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"37",2016-05-16,442.7402,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"38",2016-05-18,349.80664,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"39",2016-05-20,325.33615,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"40",2016-05-22,286.82372,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"41",2016-05-24,295.3637,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"42",2016-05-26,298.15658,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"43",2016-05-28,312.16567,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"44",2016-05-30,305.71958,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"45",2016-06-01,202.75897,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"46",2016-06-03,184.46702,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"47",2016-06-05,377.61933,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"48",2016-06-07,399.10684,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"49",2016-06-09,291.74522,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"50",2016-06-11,302.57997,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"51",2016-06-13,247.99625,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"52",2016-06-15,276.52186,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"53",2016-06-17,267.64492,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"54",2016-06-19,278.12606,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"55",2016-06-21,281.52778,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"56",2016-06-23,283.43125,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"57",2016-06-25,230.37523,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"58",2016-06-27,249.16616,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"59",2016-06-29,243.04748,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"60",2016-07-01,244.97286,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"61",2016-07-03,290.52582,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"62",2016-07-05,230.96453,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"63",2016-07-07,100.17565,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"64",2016-07-09,236.52741,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"65",2016-07-11,262.15276,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"66",2016-07-13,409.1475,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"67",2016-07-15,237.30309,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"68",2016-07-17,219.29471,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"69",2016-07-19,243.54877,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"70",2016-07-21,288.78497,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"71",2016-07-23,285.25567,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"72",2016-07-25,120.15873,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"73",2016-07-27,220.13918,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"74",2016-07-29,132.89481,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"75",2016-07-31,108.70177,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"76",2016-08-02,120.96807,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"77",2016-08-04,127.40132,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"78",2016-08-06,287.7531,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"79",2016-08-08,191.53994,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"80",2016-08-10,174.78503,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"81",2016-08-12,173.44458,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"82",2016-08-14,183.0631,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"83",2016-08-16,163.3179,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"84",2016-08-18,146.96128,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"85",2016-08-20,223.67243,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"86",2016-08-22,134.76693,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"87",2016-08-24,185.54178,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"88",2016-08-26,211.32913,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"89",2016-08-28,182.66209,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"90",2016-09-02,110.31059,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
"91",2016-09-03,105.72571,"aluminum","Al",0.074,"aluminum_ppb","metal",145.715341412862,114.507133942658
